Compiling cost function...
Computing gradient of cost function...
Optimizing...
 iter		   cost val	    grad. norm
    0	+4.7151660850267188e+05	6.29978583e+04
    1	+4.1541860994553979e+05	5.19643106e+04
    2	+3.3969315343528299e+05	4.09206774e+04
    3	+2.5001371028925260e+05	2.91746372e+04
    4	+1.6373058569670501e+05	1.87477939e+04
    5	+9.8617075196140460e+04	1.34320842e+04
    6	+7.5058116499410971e+04	1.15357662e+04
    7	+5.7544792313691534e+04	6.71407011e+03
    8	+4.1403467934623048e+04	4.32248594e+03
    9	+2.7026971207376209e+04	2.57111791e+03
   10	+1.7014212368327408e+04	1.40161473e+03
   11	+1.1193875547585294e+04	7.26316871e+02
   12	+8.1146297900335130e+03	3.72519765e+02
   13	+6.5537410101782198e+03	2.01132561e+02
   14	+5.7729304386733093e+03	1.18778422e+02
   15	+5.5044156613038749e+03	6.61389859e+01
   16	+5.3801256994509049e+03	5.09474186e+01
   17	+5.2404147230318576e+03	3.45814921e+01
   18	+5.1197742583158770e+03	2.03967747e+01
   19	+5.0398577498921322e+03	1.08720734e+01
   20	+4.9968711479287194e+03	6.46859936e+00
   21	+4.9898961585325696e+03	5.27133751e+00
   22	+4.9780278889860920e+03	3.77670163e+00
   23	+4.9731419010008221e+03	3.84526186e+00
   24	+4.9673345424508307e+03	2.79326925e+00
   25	+4.9656783251819943e+03	1.59005271e+00
   26	+4.9643612278888986e+03	1.45458429e+00
   27	+4.9630441236667866e+03	1.19289145e+00
   28	+4.9622386502653917e+03	1.34438099e+00
   29	+4.9613157553645970e+03	1.19215088e+00
   30	+4.9607237344909954e+03	1.27246822e+00
   31	+4.9603681221539773e+03	7.74108749e-01
   32	+4.9602490345549077e+03	4.70243180e-01
   33	+4.9601918891810919e+03	3.68184217e-01
   34	+4.9601263305093789e+03	3.79343473e-01
   35	+4.9599624884643872e+03	7.27846938e-01
   36	+4.9598231346154971e+03	4.16536674e-01
   37	+4.9597523250504682e+03	5.04912592e-01
   38	+4.9596451876995588e+03	4.65655739e-01
   39	+4.9595612239741431e+03	5.57194095e-01
   40	+4.9594448795120934e+03	5.08346296e-01
   41	+4.9593556384465182e+03	5.69680215e-01
   42	+4.9592923400011377e+03	3.89956080e-01
   43	+4.9592693866570407e+03	2.16125224e-01
   44	+4.9592590366465483e+03	1.71367252e-01
   45	+4.9592468609363596e+03	1.82853309e-01
   46	+4.9592278499551703e+03	1.98859472e-01
   47	+4.9592080261904794e+03	2.28267085e-01
   48	+4.9591856107295425e+03	2.50326112e-01
   49	+4.9591574296755980e+03	2.72893920e-01
   50	+4.9591199043933393e+03	2.77416049e-01
   51	+4.9590800510976323e+03	2.67537040e-01
   52	+4.9590490803250641e+03	2.85903927e-01
   53	+4.9590232122090229e+03	2.69928807e-01
   54	+4.9590087503051554e+03	1.86304328e-01
   55	+4.9589945486127854e+03	1.52553288e-01
   56	+4.9589855853975869e+03	1.67402844e-01
   57	+4.9589707997615724e+03	1.47024014e-01
   58	+4.9589616852679028e+03	1.85508174e-01
   59	+4.9589546542068902e+03	1.22435163e-01
   60	+4.9589520963661989e+03	8.85993894e-02
   61	+4.9589486842055258e+03	9.14571349e-02
   62	+4.9589443848510673e+03	8.91882649e-02
   63	+4.9589410972107489e+03	1.08849273e-01
   64	+4.9589363567483606e+03	1.03820431e-01
   65	+4.9589305143758356e+03	1.19903342e-01
   66	+4.9589204849680709e+03	1.14733685e-01
   67	+4.9589132017482771e+03	1.44627851e-01
   68	+4.9589082888343000e+03	8.38053899e-02
   69	+4.9589069632637757e+03	6.58812631e-02
   70	+4.9589058059687832e+03	5.87185155e-02
   71	+4.9589043110309185e+03	6.03814870e-02
   72	+4.9589001519770882e+03	1.21226667e-01
   73	+4.9588967740013713e+03	6.02780724e-02
   74	+4.9588948492766513e+03	6.45283230e-02
   75	+4.9588919143382000e+03	6.38433157e-02
   76	+4.9588897095462162e+03	7.87616837e-02
   77	+4.9588868535379179e+03	7.59363627e-02
   78	+4.9588829339480108e+03	7.83442872e-02
   79	+4.9588732204084581e+03	1.53965259e-01
   80	+4.9588664536936330e+03	7.19041872e-02
   81	+4.9588629888553578e+03	7.15532892e-02
   82	+4.9588559718730085e+03	1.17465221e-01
   83	+4.9588520467113785e+03	7.36039740e-02
   84	+4.9588488712289072e+03	7.86944598e-02
   85	+4.9588427747308851e+03	1.27131088e-01
   86	+4.9588398669512226e+03	8.61806461e-02
   87	+4.9588369845415909e+03	9.31099440e-02
   88	+4.9588339602204323e+03	8.47858690e-02
   89	+4.9588326692778865e+03	5.84662379e-02
   90	+4.9588318226405636e+03	4.35868924e-02
   91	+4.9588314568627284e+03	3.30150337e-02
   92	+4.9588311924491554e+03	2.50971506e-02
   93	+4.9588309170922321e+03	2.43046842e-02
   94	+4.9588303145932323e+03	5.07923673e-02
   95	+4.9588290970043918e+03	4.44390359e-02
   96	+4.9588271610572729e+03	8.53612533e-02
   97	+4.9588252100624450e+03	3.70684841e-02
   98	+4.9588249531913898e+03	3.23848975e-02
   99	+4.9588246348820730e+03	2.68313242e-02
  100	+4.9588243261388161e+03	2.75087157e-02
  101	+4.9588233552880783e+03	3.79026014e-02
  102	+4.9588226459630932e+03	4.93745410e-02
  103	+4.9588217597254252e+03	3.85845333e-02
  104	+4.9588211923134922e+03	5.15408253e-02
  105	+4.9588199952257864e+03	3.50182208e-02
  106	+4.9588194894453145e+03	5.00397886e-02
  107	+4.9588175971297851e+03	9.32647022e-02
  108	+4.9588149278858718e+03	8.15287469e-02
  109	+4.9588128938287937e+03	9.45422436e-02
